data
0.44
0.43
0.44
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.41
0.42
0.41
0.4
0.41
0.4
0.41
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.39
0.4
0.41
0.42
0.43
0.42
0.43
0.42
0.41
0.4
0.39
0.4
0.39
0.4
0.4
0.39
0.35
0.39
0.31
1.13
1.2
1.15
1.14
1.16
1.13
1.15
1.19
1.1
0.77
0.61
0.48
0.46
0.45
0.44
0.44
0.44
0.45
0.46
0.45
0.46
0.45
0.46
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.45
0.44
0.43
0.44
0.43
0.44
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
0.42
0.43
